"","bacteria","timepoint",".y.","group1","group2","p","p.format","p.signif","method","p.adj","p.adj.signif","taxa_level"
"96","Campylobacter","D26","mean","Ctl Male","EtOH Female",0.18387320155222,"0.18387","ns","Wilcoxon",0.36774640310444,"ns","genius"
"97","Candidatus_Saccharibacteria_unclassified","D26","mean","EtOH Male","Ctl Female",0.0894057315056793,"0.08941","ns","Wilcoxon",0.268217194517038,"ns","genius"
"98","Candidatus_Saccharibacteria_unclassified","D26","mean","EtOH Male","Ctl Male",0.358631820103184,"0.35863","ns","Wilcoxon",0.508452956600152,"ns","genius"
"99","Candidatus_Saccharibacteria_unclassified","D26","mean","EtOH Male","EtOH Female",1,"1.00000","ns","Wilcoxon",1,"ns","genius"
"100","Candidatus_Saccharibacteria_unclassified","D26","mean","Ctl Female","Ctl Male",0.423710797166793,"0.42371","ns","Wilcoxon",0.508452956600152,"ns","genius"
"101","Candidatus_Saccharibacteria_unclassified","D26","mean","Ctl Female","EtOH Female",0.0622268952200788,"0.06223","ns","Wilcoxon",0.268217194517038,"ns","genius"
"102","Candidatus_Saccharibacteria_unclassified","D26","mean","Ctl Male","EtOH Female",0.375645000908265,"0.37565","ns","Wilcoxon",0.508452956600152,"ns","genius"
"103","Clostridia_unclassified","D26","mean","EtOH Male","Ctl Female",0.354312354312354,"0.35431","ns","Wilcoxon",0.425174825174825,"ns","genius"
"104","Clostridia_unclassified","D26","mean","EtOH Male","Ctl Male",0.222222222222222,"0.22222","ns","Wilcoxon",0.333333333333333,"ns","genius"
"105","Clostridia_unclassified","D26","mean","EtOH Male","EtOH Female",0.000987248046071575,"0.00099","***","Wilcoxon",0.002997002997003,"**","genius"
"106","Clostridia_unclassified","D26","mean","Ctl Female","Ctl Male",0.841269841269841,"0.84127","ns","Wilcoxon",0.841269841269841,"ns","genius"
"107","Clostridia_unclassified","D26","mean","Ctl Female","EtOH Female",0.028971028971029,"0.02897","*","Wilcoxon",0.0579420579420579,"ns","genius"
"108","Clostridia_unclassified","D26","mean","Ctl Male","EtOH Female",0.000999000999000999,"0.00100","***","Wilcoxon",0.002997002997003,"**","genius"
"109","Clostridiaceae_unclassified","D26","mean","EtOH Male","Ctl Female",0.00621600621600622,"0.00622","**","Wilcoxon",0.0124320124320124,"*","genius"
"110","Clostridiaceae_unclassified","D26","mean","EtOH Male","Ctl Male",0.00155400155400155,"0.00155","**","Wilcoxon",0.00466200466200466,"**","genius"
"111","Clostridiaceae_unclassified","D26","mean","EtOH Male","EtOH Female",0.074454956807898,"0.07445","ns","Wilcoxon",0.0893459481694776,"ns","genius"
"112","Clostridiaceae_unclassified","D26","mean","Ctl Female","Ctl Male",0.547619047619048,"0.54762","ns","Wilcoxon",0.547619047619048,"ns","genius"
"113","Clostridiaceae_unclassified","D26","mean","Ctl Female","EtOH Female",0.018981018981019,"0.01898","*","Wilcoxon",0.0284715284715285,"*","genius"
"114","Clostridiaceae_unclassified","D26","mean","Ctl Male","EtOH Female",0.000999000999000999,"0.00100","***","Wilcoxon",0.00466200466200466,"**","genius"
"115","Clostridium","D26","mean","EtOH Male","Ctl Female",0.435120435120435,"0.43512","ns","Wilcoxon",0.435120435120435,"ns","genius"
"116","Clostridium","D26","mean","EtOH Male","Ctl Male",0.00155400155400155,"0.00155","**","Wilcoxon",0.00310800310800311,"**","genius"
"117","Clostridium","D26","mean","EtOH Male","EtOH Female",0.000329082682023858,"0.00033","***","Wilcoxon",0.00197449609214315,"**","genius"
"118","Clostridium","D26","mean","Ctl Female","Ctl Male",0.00793650793650794,"0.00794","**","Wilcoxon",0.00952380952380952,"**","genius"
"119","Clostridium","D26","mean","Ctl Female","EtOH Female",0.003996003996004,"0.00400","**","Wilcoxon",0.00599400599400599,"**","genius"
"120","Clostridium","D26","mean","Ctl Male","EtOH Female",0.000999000999000999,"0.00100","***","Wilcoxon",0.002997002997003,"**","genius"
"121","Coriobacteriaceae_unclassified","D26","mean","EtOH Male","Ctl Female",0.0450660450660451,"0.04507","*","Wilcoxon",0.0540792540792541,"ns","genius"
"122","Coriobacteriaceae_unclassified","D26","mean","EtOH Male","Ctl Male",0.00155400155400155,"0.00155","**","Wilcoxon",0.00466200466200466,"**","genius"
"123","Coriobacteriaceae_unclassified","D26","mean","EtOH Male","EtOH Female",0.00246812011517894,"0.00247","**","Wilcoxon",0.00493624023035788,"**","genius"
"124","Coriobacteriaceae_unclassified","D26","mean","Ctl Female","Ctl Male",0.00793650793650794,"0.00794","**","Wilcoxon",0.0119047619047619,"*","genius"
"125","Coriobacteriaceae_unclassified","D26","mean","Ctl Female","EtOH Female",0.898101898101898,"0.89810","ns","Wilcoxon",0.898101898101898,"ns","genius"
"126","Coriobacteriaceae_unclassified","D26","mean","Ctl Male","EtOH Female",0.000999000999000999,"0.00100","***","Wilcoxon",0.00466200466200466,"**","genius"
"127","Corynebacterium","D26","mean","EtOH Male","Ctl Female",0.358631820103184,"0.35863","ns","Wilcoxon",0.881372032977356,"ns","genius"
"128","Corynebacterium","D26","mean","EtOH Male","Ctl Male",0.936580335966056,"0.93658","ns","Wilcoxon",0.936580335966056,"ns","genius"
"129","Corynebacterium","D26","mean","EtOH Male","EtOH Female",0.722149984698059,"0.72215","ns","Wilcoxon",0.936580335966056,"ns","genius"
"130","Corynebacterium","D26","mean","Ctl Female","Ctl Male",0.440686016488678,"0.44069","ns","Wilcoxon",0.881372032977356,"ns","genius"
"131","Corynebacterium","D26","mean","Ctl Female","EtOH Female",0.18387320155222,"0.18387","ns","Wilcoxon",0.881372032977356,"ns","genius"
"132","Corynebacterium","D26","mean","Ctl Male","EtOH Female",0.886777529011731,"0.88678","ns","Wilcoxon",0.936580335966056,"ns","genius"
"133","Dorea","D26","mean","EtOH Male","Ctl Female",0.0186480186480186,"0.01865","*","Wilcoxon",0.0372960372960373,"*","genius"
"134","Dorea","D26","mean","EtOH Male","Ctl Male",0.170940170940171,"0.17094","ns","Wilcoxon",0.205128205128205,"ns","genius"
"135","Dorea","D26","mean","EtOH Male","EtOH Female",8.22706705059646e-05,"8.2e-05","****","Wilcoxon",0.000493624023035788,"***","genius"
"136","Dorea","D26","mean","Ctl Female","Ctl Male",0.150793650793651,"0.15079","ns","Wilcoxon",0.205128205128205,"ns","genius"
"137","Dorea","D26","mean","Ctl Female","EtOH Female",0.898101898101898,"0.89810","ns","Wilcoxon",0.898101898101898,"ns","genius"
"138","Dorea","D26","mean","Ctl Male","EtOH Female",0.001998001998002,"0.00200","**","Wilcoxon",0.00599400599400599,"**","genius"
"139","Duncaniella","D26","mean","EtOH Male","Ctl Female",0.284382284382284,"0.28438","ns","Wilcoxon",0.341258741258741,"ns","genius"
"140","Duncaniella","D26","mean","EtOH Male","Ctl Male",0.170940170940171,"0.17094","ns","Wilcoxon",0.256410256410256,"ns","genius"
"141","Duncaniella","D26","mean","EtOH Male","EtOH Female",0.0927190456602221,"0.09272","ns","Wilcoxon",0.19047619047619,"ns","genius"
"142","Duncaniella","D26","mean","Ctl Female","Ctl Male",0.0952380952380952,"0.09524","ns","Wilcoxon",0.19047619047619,"ns","genius"
"143","Duncaniella","D26","mean","Ctl Female","EtOH Female",0.699300699300699,"0.69930","ns","Wilcoxon",0.699300699300699,"ns","genius"
"144","Duncaniella","D26","mean","Ctl Male","EtOH Female",0.018981018981019,"0.01898","*","Wilcoxon",0.113886113886114,"ns","genius"
"145","Elizabethkingia","D26","mean","EtOH Male","Ctl Female",0.294952935439746,"0.29495","ns","Wilcoxon",0.49158822573291,"ns","genius"
"146","Elizabethkingia","D26","mean","EtOH Male","Ctl Male",1,"1.00000","ns","Wilcoxon",1,"ns","genius"
"147","Elizabethkingia","D26","mean","EtOH Male","EtOH Female",0.144216824356787,"0.14422","ns","Wilcoxon",0.49158822573291,"ns","genius"
"148","Elizabethkingia","D26","mean","Ctl Female","Ctl Male",0.423710797166793,"0.42371","ns","Wilcoxon",0.529638496458492,"ns","genius"
"149","Elizabethkingia","D26","mean","Ctl Male","EtOH Female",0.233037982273905,"0.23304","ns","Wilcoxon",0.49158822573291,"ns","genius"
"150","Enterobacter","D26","mean","EtOH Male","Ctl Female",0.165790199575059,"0.16579","ns","Wilcoxon",0.530389781628616,"ns","genius"
"151","Enterobacter","D26","mean","EtOH Male","Ctl Male",1,"1.00000","ns","Wilcoxon",1,"ns","genius"
"152","Enterobacter","D26","mean","EtOH Male","EtOH Female",0.332209574619006,"0.33221","ns","Wilcoxon",0.530389781628616,"ns","genius"
"153","Enterobacter","D26","mean","Ctl Female","Ctl Male",0.179712494879,"0.17971","ns","Wilcoxon",0.530389781628616,"ns","genius"
"154","Enterobacter","D26","mean","Ctl Female","EtOH Female",0.550984987585094,"0.55098","ns","Wilcoxon",0.661181985102112,"ns","genius"
"155","Enterobacter","D26","mean","Ctl Male","EtOH Female",0.353593187752411,"0.35359","ns","Wilcoxon",0.530389781628616,"ns","genius"
"156","Enterococcus","D26","mean","EtOH Male","Ctl Female",0.0932400932400932,"0.09324","ns","Wilcoxon",0.111888111888112,"ns","genius"
"157","Enterococcus","D26","mean","EtOH Male","Ctl Male",0.354312354312354,"0.35431","ns","Wilcoxon",0.354312354312354,"ns","genius"
"158","Enterococcus","D26","mean","EtOH Male","EtOH Female",0.0152200740436035,"0.01522","*","Wilcoxon",0.0304401480872069,"*","genius"
"159","Enterococcus","D26","mean","Ctl Female","Ctl Male",0.00793650793650794,"0.00794","**","Wilcoxon",0.0238095238095238,"*","genius"
"160","Enterococcus","D26","mean","Ctl Female","EtOH Female",0.000999000999000999,"0.00100","***","Wilcoxon",0.00599400599400599,"**","genius"
"161","Enterococcus","D26","mean","Ctl Male","EtOH Female",0.0599400599400599,"0.05994","ns","Wilcoxon",0.0899100899100899,"ns","genius"
"162","Erysipelotrichaceae_unclassified","D26","mean","EtOH Male","Ctl Female",0.00310800310800311,"0.00311","**","Wilcoxon",0.00621600621600622,"**","genius"
"163","Erysipelotrichaceae_unclassified","D26","mean","EtOH Male","Ctl Male",0.00155400155400155,"0.00155","**","Wilcoxon",0.00466200466200466,"**","genius"
"164","Erysipelotrichaceae_unclassified","D26","mean","EtOH Male","EtOH Female",8.22706705059646e-05,"8.2e-05","****","Wilcoxon",0.000493624023035788,"***","genius"
"165","Erysipelotrichaceae_unclassified","D26","mean","Ctl Female","Ctl Male",1,"1.00000","ns","Wilcoxon",1,"ns","genius"
"166","Erysipelotrichaceae_unclassified","D26","mean","Ctl Female","EtOH Female",0.028971028971029,"0.02897","*","Wilcoxon",0.0434565434565435,"*","genius"
"167","Erysipelotrichaceae_unclassified","D26","mean","Ctl Male","EtOH Female",0.146853146853147,"0.14685","ns","Wilcoxon",0.176223776223776,"ns","genius"
"168","Erysipelotrichales_unclassified","D26","mean","EtOH Male","Ctl Female",0.00410053627360454,"0.00410","**","Wilcoxon",0.0246032176416272,"*","genius"
"169","Erysipelotrichales_unclassified","D26","mean","EtOH Male","Ctl Male",0.877629688122445,"0.87763","ns","Wilcoxon",0.877629688122445,"ns","genius"
"170","Erysipelotrichales_unclassified","D26","mean","EtOH Male","EtOH Female",0.0105811123795782,"0.01058","*","Wilcoxon",0.0317433371387345,"*","genius"
"171","Erysipelotrichales_unclassified","D26","mean","Ctl Female","Ctl Male",0.0200081852916062,"0.02001","*","Wilcoxon",0.0400163705832125,"*","genius"
"172","Erysipelotrichales_unclassified","D26","mean","Ctl Female","EtOH Female",0.797202797202797,"0.79720","ns","Wilcoxon",0.877629688122445,"ns","genius"
"173","Erysipelotrichales_unclassified","D26","mean","Ctl Male","EtOH Female",0.0321313377875522,"0.03213","*","Wilcoxon",0.0481970066813282,"*","genius"
"174","Escherichia","D26","mean","EtOH Male","Ctl Female",0.170940170940171,"0.17094","ns","Wilcoxon",0.341880341880342,"ns","genius"
